text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
aport,aport,aport,aport,,True,False
NECONFIDENIAL,neconfidenial,NECONFIDENIAL,neconfidenial,,True,False
3,3,3,3,,False,False
perioada,perioada,perioada,perioada,,True,False
2011,2011,2011,2011,,False,False
2015,2015,2015,2015,,False,False
3.3.4,3.3.4,3.3.4,3.3.4,,False,False
.,.,.,.,,False,False
Oferta,oferta,Oferta,oferta,,True,False
",",",",",",",",,False,False
în,în,în,în,,True,True
perioada,perioada,perioada,perioada,,True,False
2011,2011,2011,2011,,False,False
2015,2015,2015,2015,,False,False
63,63,63,63,,False,False
3.3.4,3.3.4,3.3.4,3.3.4,,False,False
",",",",",",",",,False,False
în,în,în,în,,True,True
perioada,perioada,perioada,perioada,,True,False
2011,2011,2011,2011,,False,False
-,-,-,-,,False,False
2015,2015,2015,2015,,False,False
66,66,66,66,,False,False
3.3.4.2,3.3.4.2,3.3.4.2,3.3.4.2,,False,False
.,.,.,.,,False,False
2011,2011,2011,2011,,False,False
2015,2015,2015,2015,,False,False
69,69,69,69,,False,False
3.4,3.4,3.4,3.4,,False,False
.,.,.,.,,False,False
76,76,76,76,,False,False
3.4.1,3.4.1,3.4.1,3.4.1,,False,False
2015,2015,2015,2015,,False,False
77,77,77,77,,False,False
4,4,4,4,,False,False
.,.,.,.,,False,False
83,83,83,83,,False,False
4.1,4.1,4.1,4.1,,False,False
.,.,.,.,,False,False
nivelul,nivelul,nivelul,nivelul,,True,False
anului,anului,anului,anului,,True,False
2015,2015,2015,2015,,False,False
83,83,83,83,,False,False
4.2,4.2,4.2,4.2,,False,False
.,.,.,.,,False,False
",",",",",",",",,False,False
la,la,la,la,,True,True
nivelul,nivelul,nivelul,nivelul,,True,False
anului,anului,anului,anului,,True,False
2015,2015,2015,2015,,False,False
86,86,86,86,,False,False
4.3,4.3,4.3,4.3,,False,False
.,.,.,.,,False,False
Exploatarea,exploatarea,Exploatarea,exploatarea,,True,False
masei,masei,masei,masei,,True,False
lemnoase,lemnoase,lemnoase,lemnoase,,True,False
87,87,87,87,,False,False
4.3.1,4.3.1,4.3.1,4.3.1,,False,False
.,.,.,.,,False,False
87,87,87,87,,False,False
4.3.2,4.3.2,4.3.2,4.3.2,,False,False
.,.,.,.,,False,False
Exploatarea,exploatarea,Exploatarea,exploatarea,,True,False
masei,masei,masei,masei,,True,False
lemnoase,lemnoase,lemnoase,lemnoase,,True,False
în,în,în,în,,True,True
anul,anul,anul,anul,,True,False
2015,2015,2015,2015,,False,False
88,88,88,88,,False,False
4.4,4.4,4.4,4.4,,False,False
.,.,.,.,,False,False
89,89,89,89,,False,False
4.5,4.5,4.5,4.5,,False,False
93,93,93,93,,False,False
96,96,96,96,,False,False
97,97,97,97,,False,False
4.5.3,4.5.3,4.5.3,4.5.3,,False,False
.,.,.,.,,False,False
Aspecte,aspecte,Aspecte,aspecte,,True,False
relevante,relevante,relevante,relevante,,True,False
privind,privind,privind,privind,,True,False
comercializarea,comercializarea,comercializarea,comercializarea,,True,False
lemnului,lemnului,lemnului,lemnului,,True,False
de,de,de,de,,True,True
foc,foc,foc,foc,,True,False
98,98,98,98,,False,False
4.5.4,4.5.4,4.5.4,4.5.4,,False,False
.,.,.,.,,False,False
99,99,99,99,,False,False
4.6,4.6,4.6,4.6,,False,False
.,.,.,.,,False,False
Cadastrul,cadastrul,Cadastrul,cadastrul,,True,False
forestier,forestier,forestier,forestier,,True,False
101,101,101,101,,False,False
5,5,5,5,,False,False
.,.,.,.,,False,False
[,[,[,[,,False,False
],],],],,False,False
102,102,102,102,,False,False
5,5,5,5,,False,False
.,.,.,.,,False,False
102,102,102,102,,False,False
5.2,5.2,5.2,5.2,,False,False
.,.,.,.,,False,False
[,[,[,[,,False,False
],],],],,False,False
109,109,109,109,,False,False
6,6,6,6,,False,False
.,.,.,.,,False,False
Concluzii,concluzii,Concluzii,concluzii,,True,False
110,110,110,110,,False,False
7,7,7,7,,False,False
118aport,118aport,118aport,118aport,,False,False
NECONFIDENIAL,neconfidenial,NECONFIDENIAL,neconfidenial,,True,False
4,4,4,4,,False,False
1,1,1,1,,False,False
.,.,.,.,,False,False
Act,act,Act,act,,True,False
de,de,de,de,,True,True
punere,punere,punere,punere,,True,False
în,în,în,în,,True,True
valoare,valoare,valoare,valoare,,True,False
(,(,(,(,,False,False
APV,apv,APV,apv,,True,False
),),),),,False,False
document,document,document,document,,True,False
tehnico,tehnico,tehnico,tehnico,,True,False
-,-,-,-,,False,False
tatele,tatele,tatele,tatele,,True,False
2,2,2,2,,False,False
.,.,.,.,,False,False
Administrarea,administrarea,Administrarea,administrarea,,True,False
fondului,fondului,fondului,fondului,,True,False
forestier,forestier,forestier,forestier,,True,False
",",",",",",",",,False,False
Romsilva,romsilva,Romsilva,romsilva,,True,False
",",",",",",",",,False,False
RAAPPS,raapps,RAAPPS,raapps,,True,False
NCDS,ncds,NCDS,ncds,,True,False
respectarea,respectarea,respectarea,respectarea,,True,False
regimului,regimului,regimului,regimului,,True,False
silvic,silvic,silvic,silvic,,True,False
;,;,;,;,,False,False
3,3,3,3,,False,False
.,.,.,.,,False,False
Amenajament,amenajament,Amenajament,amenajament,,True,False
silvic,silvic,silvic,silvic,,True,False
studiul,studiul,studiul,studiul,,True,False
de,de,de,de,,True,True
-,-,-,-,,False,False
;,;,;,;,,False,False
4,4,4,4,,False,False
.,.,.,.,,False,False
5,5,5,5,,False,False
.,.,.,.,,False,False
regenerarea,regenerarea,regenerarea,regenerarea,,True,False
acesteia,acesteia,acesteia,acesteia,,True,False
",",",",",",",",,False,False
cu,cu,cu,cu,,True,True
schimb,schimb,schimb,schimb,,True,False
6,6,6,6,,False,False
.,.,.,.,,False,False
;,;,;,;,,False,False
7,7,7,7,,False,False
.,.,.,.,,False,False
Grupajul,grupajul,Grupajul,grupajul,,True,False
de,de,de,de,,True,True
partizi,partizi,partizi,partizi,,True,False
-a,-a,-a,-a,,False,False
stabilit,stabilit,stabilit,stabilit,,True,False
a,a,a,a,,True,True
se,se,se,se,,True,True
-apropiat,-apropiat,-apropiat,-apropiat,,False,False
",",",",",",",",,False,False
calea,calea,calea,calea,,True,False
de,de,de,de,,True,True
transport,transport,transport,transport,,True,False
cu,cu,cu,cu,,True,True
caracter,caracter,caracter,caracter,,True,False
permanent,permanent,permanent,permanent,,True,False
care,care,care,care,,True,True
economic,economic,economic,economic,,True,False
;,;,;,;,,False,False
în,în,în,în,,True,True
cadrul,cadrul,cadrul,cadrul,,True,False
grupajului,grupajului,grupajului,grupajului,,True,False
ordinea,ordinea,ordinea,ordinea,,True,False
de,de,de,de,,True,True
autorizare,autorizare,autorizare,autorizare,,True,False
la,la,la,la,,True,True
exploatare,exploatare,exploatare,exploatare,,True,False
a,a,a,a,,True,True
partizilor,partizilor,partizilor,partizilor,,True,False
este,este,este,este,,True,True
:,:,:,:,,False,False
accidentale,accidentale,accidentale,accidentale,,True,False
",",",",",",",",,False,False
8,8,8,8,,False,False
.,.,.,.,,False,False
Materiale,materiale,Materiale,materiale,,True,False
lemnoase,lemnoase,lemnoase,lemnoase,,True,False
fasonate,fasonate,fasonate,fasonate,,True,False
sortimentele,sortimentele,sortimentele,sortimentele,,True,False
industriale,industriale,industriale,industriale,,True,False
de,de,de,de,,True,True
9,9,9,9,,False,False
.,.,.,.,,False,False
inclusiesului,inclusiesului,inclusiesului,inclusiesului,,True,False
de,de,de,de,,True,True
exploatare,exploatare,exploatare,exploatare,,True,False
10,10,10,10,,False,False
.,.,.,.,,False,False
Ocol,ocol,Ocol,ocol,,True,False
silvic,silvic,silvic,silvic,,True,False
in,in,in,in,,True,True
11,11,11,11,,False,False
.,.,.,.,,False,False
-ului;aport,-ului;aport,-ului;aport,-ului;aport,,False,False
NECONFIDENIAL,neconfidenial,NECONFIDENIAL,neconfidenial,,True,False
5,5,5,5,,False,False
12,12,12,12,,False,False
.,.,.,.,,False,False
Parchet,parchet,Parchet,parchet,,True,False
extragerii,extragerii,extragerii,extragerii,,True,False
produselor,produselor,produselor,produselor,,True,False
accidental,accidental,accidental,accidental,,True,False
13,13,13,13,,False,False
.,.,.,.,,False,False
Posibilitate,posibilitate,Posibilitate,posibilitate,,True,False
volumul,volumul,volumul,volumul,,True,False
de,de,de,de,,True,True
lemn,lemn,lemn,lemn,,True,False
care,care,care,care,,True,True
poate,poate,poate,poate,,True,True
fi,fi,fi,fi,,True,True
recoltat,recoltat,recoltat,recoltat,,True,False
ca,ca,ca,ca,,True,True
produse,produse,produse,produse,,True,False
principale,principale,principale,principale,,True,False
dintr,dintr,dintr,dintr,,True,True
-,-,-,-,,False,False
o,o,o,o,,True,True
unitate,unitate,unitate,unitate,,True,False
de,de,de,de,,True,True
14,14,14,14,,False,False
.,.,.,.,,False,False
volumul,volumul,volumul,volumul,,True,False
de,de,de,de,,True,True
lemn,lemn,lemn,lemn,,True,False
care,care,care,care,,True,True
poate,poate,poate,poate,,True,True
fi,fi,fi,fi,,True,True
recoltat,recoltat,recoltat,recoltat,,True,False
ca,ca,ca,ca,,True,True
produse,produse,produse,produse,,True,False
principale,principale,principale,principale,,True,False
dintr,dintr,dintr,dintr,,True,True
-,-,-,-,,False,False
o,o,o,o,,True,True
amenajamentului,amenajamentului,amenajamentului,amenajamentului,,True,False
silvic,silvic,silvic,silvic,,True,False
;,;,;,;,,False,False
15,15,15,15,,False,False
.,.,.,.,,False,False
Produse,produse,Produse,produse,,True,False
principale,principale,principale,principale,,True,False
reprezint,reprezint,reprezint,reprezint,,True,False
produse,produse,produse,produse,,True,False
16,16,16,16,,False,False
.,.,.,.,,False,False
Produse,produse,Produse,produse,,True,False
secundare,secundare,secundare,secundare,,True,False
reprezint,reprezint,reprezint,reprezint,,True,False
produse,produse,produse,produse,,True,False
arboretelor,arboretelor,arboretelor,arboretelor,,True,False
;,;,;,;,,False,False
17,17,17,17,,False,False
.,.,.,.,,False,False
Produse,produse,Produse,produse,,True,False
de,de,de,de,,True,True
igien,igien,igien,igien,,True,False
reprezint,reprezint,reprezint,reprezint,,True,False
produse,produse,produse,produse,,True,False
18,18,18,18,,False,False
.,.,.,.,,False,False
